# XES calibration: ,configuration file,xes_calib_Ka.param,,,
emiss_calib,emiss,spectrum_ph,spectrum_norm,FF_sum,FF_sum_calib
6417.90110525167,6416,117.57896025256,-0.000632874268815553,114.002638,118.15533980495
6417.65434380494,6415.75,131.806822129652,-0.000526107510370686,128.003062,132.589920625709
6417.40753836464,6415.5,150.230924604167,-0.00038708014786146,146.003381,151.149505352617
6417.16068893078,6415.25,146.209123086514,-0.000420619358062508,142.003405,146.925849520723
6416.91379550335,6415,133.824867325284,-0.000518450326926835,130.003118,134.434528614927
6416.66685808236,6414.75,147.049805223486,-0.000419396004425368,143.00341,147.796121651441
6416.41987666781,6414.5,202.502838199921,4.31120139613726e-06,197.004726,203.495520011264
6416.17285125969,6414.25,161.353155508743,-0.000314672328095834,157.003638,162.088226462607
6415.92578185801,6414,184.85949242727,-0.000136575096052082,180.004494,185.733667907909
6415.67866846277,6413.75,195.09195545754,-6.05290536511101e-05,190.004407,195.946939307009
6415.43151107396,6413.5,240.143863039639,0.000283211508003929,234.005621,241.196285339505
6415.18430969158,6413.25,202.066040990867,-1.21571509101362e-05,197.004714,202.951588532631
6414.93706431565,6413,226.486754885223,0.000172968025427293,221.005123,227.557780047146
6414.68977494614,6412.75,207.158037082753,2.17432136310491e-05,202.00468,207.88650203796
6414.44244158308,6412.5,262.357169655694,0.000443494676156144,256.005922,263.325180752349
6414.19506422645,6412.25,262.043509282854,0.00043845838320115,256.006282,263.191906036424
6413.94764287626,6412,242.681884651644,0.000286979180373272,237.005496,243.535268139545
6413.70017753251,6411.75,255.954580263229,0.000386395066797989,250.006023,256.765974498732
6413.45266819519,6411.5,295.431351589391,0.000687269750728695,289.006914,296.6749009353
6413.2051148643,6411.25,288.184545840187,0.000628928952377717,282.006965,289.347678100128
6412.95751753986,6411,360.815621157882,0.00118469594005922,353.00844,362.021925351811
6412.70987622184,6410.75,326.872180581256,0.000921108105535449,320.008147,328.02161669167
6412.46219091026,6410.5,390.15240816529,0.00140498401070637,382.00914,391.389219065988
6412.21446160513,6410.25,362.218323495507,0.00118759570517635,355.00875,363.5547891885
6411.96668830643,6410,423.240913742835,0.00165411376013678,415.00998,424.802532590908
6411.71887101416,6409.75,450.802616023904,0.00186338106607954,442.01057,452.231692399938
6411.47100972833,6409.5,479.913215658537,0.00208455596581118,471.01203,481.683936538011
6411.22310444893,6409.25,490.814174608609,0.00216573306185388,482.01156,492.710125065813
6410.97515517598,6409,533.435861394893,0.00249078146748554,524.01258,535.404063117231
6410.72716190946,6408.75,593.946450858183,0.00295336088087826,584.01446,596.446529866372
6410.47912464937,6408.5,657.845198114432,0.00344198828587531,647.0161,660.500305693998
6410.23104339572,6408.25,688.525774967927,0.00367523097606672,677.01725,690.827702826001
6409.9829181485,6408,709.824576152853,0.00383634527383575,698.01775,711.951829490788
6409.73474890772,6407.75,794.637357800357,0.00448576023462074,782.02058,797.294045374722
6409.48653567338,6407.5,881.507253036048,0.0051509900007999,868.02413,884.6070465591
6409.23827844548,6407.25,1005.16267071984,0.00609902966793438,990.02685,1008.52320134593
6408.98997722401,6407,1116.14733685542,0.00694965500360938,1099.03058,1119.10565569483
6408.74163200898,6406.75,1169.09751920737,0.00735410560039994,1152.03199,1172.60115473036
6408.49324280038,6406.5,1275.58641625917,0.00817016612996569,1257.03431,1278.96732413926
6408.24480959822,6406.25,1400.86766555363,0.00913070346789304,1381.03836,1404.58062805391
6407.9963324025,6406,1565.33446030518,0.0103925022970924,1544.04551,1569.75445243061
6407.74781121321,6405.75,1789.62781481495,0.0121142525710264,1765.05326,1793.75125135424
6407.49924603035,6405.5,1892.98416212439,0.0129062279124008,1867.05493,1896.69001254569
6407.25063685394,6405.25,2176.70657618564,0.01508487314733,2148.06849,2181.3448672335
6407.00198368396,6405,2393.09466962489,0.0167458456707674,2362.0768,2397.77957458453
6406.75328652042,6404.75,2822.66356095656,0.0200457706588398,2787.09727,2828.18942279729
6406.50454536331,6404.5,3194.40799317978,0.0229011355964069,3153.11478,3198.44853401469
6406.25576021264,6404.25,3728.48108509879,0.0270044972380941,3684.1425,3735.78024452997
6406.00693106841,6404,4365.3025108291,0.0318977967402825,4311.1773,4370.06802487531
6405.75805793061,6403.75,5280.18590784781,0.0389288609377743,5219.2319,5288.69375468566
6405.50914079925,6403.5,6579.4280343132,0.0489149087597983,6502.3232,6586.61066521582
6405.26017967431,6403.25,8014.70014497309,0.0599467667300616,7923.4436,8023.44963393113
6405.01117455582,6403,10089.9535407825,0.0758988572645015,9976.6535,10099.2209702413
6404.76212544377,6402.75,12509.7844984944,0.0945000902698272,12366.9358,12514.7744404563
6404.51303233815,6402.5,15197.3716157757,0.11515985597351,15044.2873,15219.2266313254
6404.26389523897,6402.25,17999.1551181011,0.136697573173598,17795.7611,17996.9823567397
6404.01471414623,6402,20650.5026195672,0.157078724554658,20441.2185,20665.8930598711
6403.76548905992,6401.75,21949.717531172,0.167064559878799,21741.4748,21973.6796018293
6403.51621998005,6401.5,22142.5603883734,0.168544507997036,21931.5382,22159.0628319269
6403.26690690661,6401.25,21022.4552692158,0.159930394851478,20828.3114,21038.1229189976
6403.01754983961,6401,19020.5858297876,0.144537198733416,18843.9268,19028.1728205454
6402.76814877904,6400.75,16823.3382733091,0.127641917810543,16680.5486,16838.7901879367
6402.51870372491,6400.5,14899.5352421149,0.112848902247486,14777.2585,14913.2201804317
6402.26921467722,6400.25,12868.2721364873,0.0972297236094259,12752.9635,12866.7187477698
6402.01968163596,6400,11245.6504506285,0.0847522160784482,11151.7912,11248.1884125949
6401.77010460114,6399.75,9785.36550820733,0.0735227674001164,9704.6192,9785.87908941721
6401.52048357276,6399.5,8375.08948834177,0.0626777912986663,8312.4867,8379.88072946783
6401.27081855081,6399.25,6989.21172591138,0.0520203907032064,6936.3606,6990.78907829425
6401.0211095353,6399,6146.16580656239,0.0455363291222263,6102.2941,6148.61740839987
6400.77135652623,6398.75,5104.02980546014,0.0375216448217111,5066.2253,5103.41367438754
6400.52155952359,6398.5,4721.65327719224,0.0345792495510813,4686.2001,4719.44773092353
6400.27171852738,6398.25,4260.61764703282,0.0310321156434959,4228.171,4257.15158497873
6400.02183353761,6398,3776.78078012626,0.027309683333382,3752.1452,3776.9790030379
6399.77190455428,6397.75,3485.87373777214,0.0250705122040343,3462.12942,3484.2454403593
6399.52193157739,6397.5,3233.19441617519,0.0231252387244905,3214.11733,3233.92409601845
6399.27191460693,6397.25,2879.45633540236,0.0204030160508851,2862.10242,2879.10874289446
6399.02185364291,6397,2806.41124231072,0.0198387855605758,2790.09528,2806.07246741425
6398.77174868532,6396.75,2606.59791097191,0.0182999491148729,2591.08811,2605.38033484781
6398.52159973417,6396.5,2364.62953565184,0.0164370204755755,2353.07682,2365.57274647579
6398.27140678946,6396.25,2292.5854020399,0.0158804840503511,2279.07421,2290.72035712715
6398.02116985118,6396,2332.36067809993,0.0161836247234959,2321.07586,2332.48309116851
6397.77088891934,6395.75,2193.15744210838,0.0151107622134064,2181.06936,2191.37328299848
6397.52056399393,6395.5,2072.75236840422,0.0141824211798192,2062.06565,2071.4251593845
6397.27019507496,6395.25,1921.28468265769,0.0130152675557853,1911.05944,1919.3889301314
